"listing_id","title","brand","condition","year","price_million_vnd","location","origin","color","fuel","engine_litre","transmission","seats","mileage_km","source_url"
"6970936","Toyota Corolla Cross 1.8HEV - 2026","Toyota","cũ","2026","855","Hà Nội","nhập khẩu","đen","hybrid","1.8","tự động","5","3000","https://bonbanh.com/oto/generic"
"6970912","Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2026","Hyundai","cũ","2026","926","Hà Nội","lắp ráp trong nước","trắng","xăng","1.6","tự động","5","1000","https://bonbanh.com/oto/generic"
"6970875","Mercedes Benz C class C200 Avantgarde Plus - 2022","Mercedes","cũ","2022","1229","Hà Nội","lắp ráp trong nước","đen","xăng","1.5","tự động","5","21000","https://bonbanh.com/oto/generic"
"6970828","Ford Territory Trend 1.5 AT - 2025","Ford","cũ","2025","690","Hải Dương","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","20000","https://bonbanh.com/oto/generic"
"6970802","Toyota Raize G 1.0 CVT - 2026","Toyota","mới","2026","480","Hà Nội","nhập khẩu","trắng","xăng","1","tự động","5",,"https://bonbanh.com/oto/generic"
"6970791","Toyota Corolla Cross 1.8HEV - 2026","Toyota","mới","2026","820","Hà Nội","nhập khẩu","trắng","hybrid","1.8","tự động","5",,"https://bonbanh.com/oto/generic"
"6970773","Ford Everest Trend 2.0L 4x2 AT - 2020","Ford","cũ","2020","655","Hà Nội","nhập khẩu","đen","dầu","2","tự động","7","140000","https://bonbanh.com/oto/generic"
"6970767","Mercedes Benz E class E250 - 2017","Mercedes","cũ","2017","699","TP HCM","lắp ráp trong nước","trắng","xăng","2","tự động","5","62000","https://bonbanh.com/oto/generic"
"6970762","BMW 3 Series 320i Sport Line - 2024","BMW","cũ","2024","1298","TP HCM","lắp ráp trong nước","đen","xăng","2","tự động","5","9100","https://bonbanh.com/oto/generic"
"6970756","Lexus RX 350 Luxury - 2023","Lexus","cũ","2023","3500","TP HCM","nhập khẩu","xanh","xăng","2.4","tự động","5","28000","https://bonbanh.com/oto/generic"
"6970747","Toyota Yaris Cross HEV 1.5 CVT - 2026","Toyota","mới","2026","645","Hà Nội","nhập khẩu","trắng","hybrid","1.5","tự động","5",,"https://bonbanh.com/oto/generic"
"6970741","Toyota Hilux Pro 2.8L 4x2 AT - 2026","Toyota","mới","2026","671","Hà Nội","nhập khẩu","bạc","dầu","2.8","tự động","5",,"https://bonbanh.com/oto/generic"
